user_id,employee_name,employee_role,privilege_level,login_time,login_hour,login_country,location_changed,device_id,device_changed,session_duration,failed_login_attempts,files_downloaded,sensitive_files_accessed,admin_commands_executed,usb_usage,previous_incidents,threat_scenario,risk_label
EMP1027,Jennifer Moore,Vendor,2,2026-01-14 08:43:00,8,CA,0,DEV_79514,0,454.17,0,2,1,3,0,0,Normal,Low
EMP1015,Mary Hernandez,Teller,1,2026-02-05 08:27:00,8,US,0,DEV_18675,0,720.0,0,7,12,0,0,0,Normal,Low
EMP1035,David Smith,Teller,1,2026-06-16 10:34:00,10,US,0,DEV_40161,0,596.34,0,3,17,0,0,0,Normal,Low
EMP1030,Jessica Williams,Vendor,2,2026-01-16 07:10:00,7,US,0,DEV_79822,0,240.76,0,3,3,3,0,0,Normal,Low
EMP1035,David Smith,Teller,1,2026-02-18 07:18:00,7,US,0,DEV_40161,0,272.83,0,3,11,0,0,0,Normal,Low
EMP1037,Mary Hernandez,System Admin,4,2026-05-16 14:10:00,14,US,0,DEV_41195,0,386.08,0,5,8,15,0,0,Normal,Low
EMP1004,James Garcia,Teller,1,2026-01-31 07:56:00,7,US,0,DEV_54597,0,427.14,0,2,11,0,0,0,Normal,Low
EMP1037,Mary Hernandez,System Admin,4,2026-03-08 08:13:00,8,US,0,DEV_41195,0,667.01,0,2,4,22,0,0,Normal,Low
EMP1019,Richard Lopez,Manager,3,2026-01-19 10:00:00,10,US,0,DEV_28131,0,519.33,1,7,6,0,0,0,Normal,Low
EMP1032,Karen Wilson,Vendor,2,2026-01-18 13:56:00,13,US,0,DEV_80686,0,320.59,0,1,4,2,0,0,Normal,Low
EMP1033,Michael Martinez,Teller,1,2026-05-22 06:19:00,6,US,0,DEV_98039,0,337.49,0,6,14,0,0,0,Normal,Low
EMP1006,Barbara Martin,Manager,3,2026-03-14 08:38:00,8,US,0,DEV_15695,0,605.85,0,8,15,0,0,0,Normal,Low
EMP1016,Charles Hernandez,Manager,3,2026-01-24 13:40:00,13,US,0,DEV_75435,0,374.05,0,6,5,0,0,0,Normal,Low
EMP1016,Charles Hernandez,Manager,3,2026-06-30 09:27:00,9,US,0,DEV_75435,0,447.06,0,3,7,0,0,0,Normal,Low
EMP1037,Mary Hernandez,System Admin,4,2026-01-11 09:19:00,9,US,0,DEV_41195,0,540.45,0,6,8,11,0,0,Normal,Low
EMP1013,Jennifer Anderson,Teller,1,2026-04-01 07:49:00,7,US,0,DEV_93886,0,720.0,0,6,14,0,0,0,Normal,Low
EMP1011,Jennifer Lopez,Teller,1,2026-03-27 08:50:00,8,US,0,DEV_97841,0,468.46,0,5,17,0,0,0,Normal,Low
EMP1006,Barbara Martin,Manager,3,2026-05-01 08:14:00,8,US,0,DEV_15695,0,688.97,0,5,10,0,0,0,Normal,Low
EMP1014,Linda Hernandez,Teller,1,2026-04-13 07:21:00,7,US,0,DEV_17331,0,646.3,0,3,18,0,0,0,Normal,Low
EMP1025,William Taylor,Teller,1,2026-03-26 12:01:00,12,CA,0,DEV_76542,0,586.61,0,10,15,0,0,0,Normal,Low
EMP1038,Jessica Miller,Teller,1,2026-03-22 16:27:00,16,US,0,DEV_84847,0,514.92,0,3,22,0,0,0,Normal,Low
EMP1027,Jennifer Moore,Vendor,2,2026-05-18 10:43:00,10,CA,0,DEV_79514,0,720.0,0,4,2,2,0,0,Normal,Low
EMP1021,Susan Martin,System Admin,4,2026-02-01 05:46:00,5,US,0,DEV_60019,0,551.14,0,4,7,23,0,0,Normal,Low
EMP1018,Sarah Rodriguez,Teller,1,2026-06-20 07:24:00,7,US,0,DEV_66155,0,523.09,0,1,19,0,0,0,Normal,Low
EMP1000,Patricia Smith,Teller,1,2026-05-29 08:38:00,8,US,0,DEV_42098,0,245.77,0,5,24,0,0,0,Normal,Low
EMP1010,Patricia Gonzalez,Manager,3,2026-06-19 10:40:00,10,US,0,DEV_93320,0,581.08,0,4,8,0,0,0,Normal,Low
EMP1012,John Martin,Teller,1,2026-05-02 08:39:00,8,US,0,DEV_80010,0,478.59,0,9,23,0,0,0,Normal,Low
EMP1024,David Brown,Manager,3,2026-06-17 09:44:00,9,GB,1,DEV_30730,0,348.3,0,11,8,0,0,0,Normal,Medium
EMP1033,Michael Martinez,Teller,1,2026-02-01 07:29:00,7,US,0,DEV_98039,0,494.99,0,2,20,0,0,0,Normal,Low
EMP1032,Karen Wilson,Vendor,2,2026-04-25 12:57:00,12,US,0,DEV_80686,0,720.0,0,8,4,2,0,0,Normal,Low
EMP1017,Joseph Jones,Manager,3,2026-06-10 09:15:00,9,US,0,DEV_42325,0,294.31,0,2,9,0,0,0,Normal,Low
EMP1020,John Johnson,Vendor,2,2026-02-08 10:14:00,10,US,0,DEV_30033,0,410.95,0,2,2,0,0,0,Normal,Low
EMP1021,Susan Martin,System Admin,4,2026-02-22 08:53:00,8,US,0,DEV_60019,0,599.58,0,5,6,10,0,0,Normal,Low
EMP1036,James Williams,Teller,1,2026-04-01 09:19:00,23,UA,1,DEV_17716,0,489.93,0,142,71,0,1,0,Data Exfiltration Attempt,High
EMP1010,Patricia Gonzalez,Manager,3,2026-06-09 11:34:00,11,US,0,DEV_93320,0,283.04,0,7,14,0,0,0,Normal,Low
EMP1027,Jennifer Moore,Vendor,2,2026-01-13 09:16:00,9,CA,0,DEV_79514,0,539.7,0,3,3,2,0,0,Normal,Low
EMP1024,David Brown,Manager,3,2026-04-18 17:16:00,17,US,0,DEV_30730,0,580.17,0,7,13,0,0,0,Normal,Low
EMP1022,Joseph Taylor,Manager,3,2026-06-16 07:02:00,7,US,0,DEV_82512,0,720.0,0,3,8,0,0,0,Normal,Low
EMP1015,Mary Hernandez,Teller,1,2026-05-25 09:13:00,9,US,0,DEV_18675,0,720.0,0,2,21,0,0,0,Normal,Low
EMP1007,Sarah Brown,Vendor,2,2026-03-21 07:06:00,7,US,0,DEV_59615,0,465.42,0,6,5,3,0,0,Normal,Low
EMP1012,John Martin,Teller,1,2026-06-26 12:53:00,12,US,0,DEV_80010,0,720.0,0,2,19,0,0,0,Normal,Low
EMP1036,James Williams,Teller,1,2026-04-20 08:42:00,8,US,0,DEV_17716,0,312.76,0,6,20,0,0,0,Normal,Low
EMP1031,Robert Thomas,Vendor,2,2026-06-12 13:57:00,13,US,0,DEV_31643,0,638.67,0,4,4,1,0,0,Normal,Low
EMP1017,Joseph Jones,Manager,3,2026-05-04 14:29:00,14,US,0,DEV_42325,0,342.09,0,2,9,0,0,0,Normal,Low
EMP1005,Michael Hernandez,DBA,4,2026-04-29 08:36:00,8,US,0,DEV_59797,0,291.63,0,7,15,20,0,0,Normal,Low
EMP1011,Jennifer Lopez,Teller,1,2026-03-08 10:21:00,10,US,0,DEV_97841,0,491.31,0,2,18,0,0,0,Normal,Low
EMP1012,John Martin,Teller,1,2026-04-15 16:31:00,16,US,0,DEV_80010,0,720.0,0,8,25,0,0,0,Normal,Low
EMP1001,Patricia Moore,System Admin,4,2026-02-26 09:25:00,9,US,0,DEV_65302,0,589.81,0,30,6,21,0,0,Normal,Low
EMP1033,Michael Martinez,Teller,1,2026-05-21 15:21:00,15,US,0,DEV_98039,0,622.87,0,2,19,0,0,0,Normal,Low
EMP1012,John Martin,Teller,1,2026-06-26 10:11:00,10,US,0,DEV_80010,0,395.3,0,5,18,0,0,0,Normal,Low
EMP1012,John Martin,Teller,1,2026-03-19 09:00:00,9,US,0,DEV_80010,0,251.82,0,2,11,0,0,0,Normal,Low
EMP1008,Elizabeth Martin,Vendor,2,2026-01-27 12:55:00,12,SG,1,DEV_57400,0,360.56,0,7,4,2,0,0,Normal,Low
EMP1003,Michael Moore,Teller,1,2026-01-30 13:52:00,13,US,0,DEV_68878,0,369.87,0,11,11,0,0,0,Normal,Low
EMP1036,James Williams,Teller,1,2026-03-05 09:07:00,9,US,0,DEV_17716,0,213.52,0,5,17,0,0,0,Normal,Low
EMP1028,David Thomas,System Admin,4,2026-04-20 07:19:00,7,US,0,DEV_57576,0,458.47,0,3,7,13,0,0,Normal,Low
EMP1013,Jennifer Anderson,Teller,1,2026-01-21 10:10:00,10,US,0,DEV_93886,0,396.95,0,3,15,0,0,0,Normal,Low
EMP1038,Jessica Miller,Teller,1,2026-03-15 07:45:00,7,US,0,DEV_84847,0,692.93,1,17,12,0,0,0,Normal,Low
EMP1037,Mary Hernandez,System Admin,4,2026-04-19 15:07:00,15,US,0,DEV_41195,0,358.34,0,2,4,14,0,0,Normal,Low
EMP1010,Patricia Gonzalez,Manager,3,2026-05-26 08:58:00,8,US,0,DEV_93320,0,720.0,0,1,9,0,0,0,Normal,Low
EMP1032,Karen Wilson,Vendor,2,2026-06-03 07:02:00,7,US,0,DEV_80686,0,216.11,0,2,5,2,0,0,Normal,Low
EMP1014,Linda Hernandez,Teller,1,2026-05-28 13:37:00,13,US,0,DEV_17331,0,398.43,0,10,18,0,0,0,Normal,Low
EMP1011,Jennifer Lopez,Teller,1,2026-03-13 08:11:00,8,US,0,DEV_97841,0,442.66,0,5,25,0,0,0,Normal,Low
EMP1026,Elizabeth Taylor,Teller,1,2026-02-11 06:21:00,6,US,0,DEV_30032,0,720.0,0,17,22,0,0,0,Normal,Low
EMP1020,John Johnson,Vendor,2,2026-04-14 06:55:00,6,US,0,DEV_30033,0,572.22,0,4,5,3,0,0,Normal,Low
EMP1012,John Martin,Teller,1,2026-05-08 08:40:00,8,US,0,DEV_80010,0,521.56,0,3,18,0,0,0,Normal,Low
EMP1028,David Thomas,System Admin,4,2026-01-08 09:40:00,9,US,0,DEV_57576,0,702.46,0,11,3,19,0,0,Normal,Low
EMP1035,David Smith,Teller,1,2026-01-30 07:29:00,0,US,0,DEV_40161,0,411.61,0,114,96,0,1,1,Data Exfiltration Attempt,High
EMP1030,Jessica Williams,Vendor,2,2026-04-09 09:12:00,9,US,0,DEV_79822,0,367.27,0,10,2,0,0,0,Normal,Low
EMP1026,Elizabeth Taylor,Teller,1,2026-03-10 16:52:00,16,SG,1,DEV_30032,0,402.61,0,10,25,0,0,0,Normal,Low
EMP1030,Jessica Williams,Vendor,2,2026-05-20 08:24:00,8,US,0,DEV_79822,0,436.2,0,8,2,1,0,0,Normal,Low
EMP1014,Linda Hernandez,Teller,1,2026-03-23 08:47:00,8,US,0,DEV_17331,0,375.61,0,5,22,0,0,0,Normal,Low
EMP1009,John Johnson,Teller,1,2026-05-09 09:37:00,9,IN,0,DEV_47930,0,234.39,0,3,24,0,0,0,Normal,Low
EMP1029,Elizabeth Davis,System Admin,4,2026-02-06 15:26:00,15,IN,0,DEV_84364,0,626.79,0,4,2,25,0,0,Normal,Low
EMP1016,Charles Hernandez,Manager,3,2026-06-16 07:05:00,7,US,0,DEV_75435,0,208.05,0,14,13,0,0,0,Normal,Low
EMP1031,Robert Thomas,Vendor,2,2026-01-18 09:15:00,9,US,0,DEV_31643,0,720.0,0,5,2,0,0,0,Normal,Low
EMP1006,Barbara Martin,Manager,3,2026-01-26 12:28:00,12,US,0,DEV_15695,0,600.3,0,8,5,0,0,0,Normal,Low
EMP1003,Michael Moore,Teller,1,2026-02-07 09:15:00,9,US,0,DEV_68878,0,396.56,0,3,15,0,0,0,Normal,Low
EMP1039,Linda Thomas,Teller,1,2026-03-03 08:31:00,8,US,0,DEV_34957,0,212.5,0,12,24,0,0,0,Normal,Low
EMP1000,Patricia Smith,Teller,1,2026-03-15 08:43:00,8,US,0,DEV_42098,0,479.12,0,6,21,0,0,0,Normal,Low
EMP1027,Jennifer Moore,Vendor,2,2026-03-19 07:12:00,7,CA,0,DEV_79514,0,584.56,0,5,1,1,0,0,Normal,Low
EMP1022,Joseph Taylor,Manager,3,2026-03-17 12:01:00,12,US,0,DEV_82512,0,576.43,1,5,9,0,0,1,Normal,Low
EMP1003,Michael Moore,Teller,1,2026-03-15 15:49:00,15,US,0,DEV_68878,0,580.12,0,5,21,0,0,0,Normal,Low
EMP1039,Linda Thomas,Teller,1,2026-06-18 12:43:00,12,US,0,DEV_34957,0,720.0,0,8,11,0,0,0,Normal,Low
EMP1002,John Miller,Manager,3,2026-01-24 13:58:00,13,US,0,DEV_88907,0,459.17,0,8,7,0,0,0,Normal,Low
EMP1034,Joseph Taylor,Teller,1,2026-05-09 08:58:00,8,US,0,DEV_42493,0,279.15,0,3,25,0,0,0,Normal,Low
EMP1021,Susan Martin,System Admin,4,2026-01-20 08:09:00,8,US,0,DEV_60019,0,223.34,0,6,7,22,0,0,Normal,Low
EMP1035,David Smith,Teller,1,2026-01-04 14:16:00,14,US,0,DEV_40161,0,720.0,0,10,18,0,0,1,Normal,Low
EMP1023,James Brown,Teller,1,2026-01-07 08:39:00,8,US,0,DEV_80381,0,241.9,1,11,17,0,0,0,Normal,Low
EMP1029,Elizabeth Davis,System Admin,4,2026-04-15 06:07:00,6,IN,0,DEV_84364,0,334.71,0,5,4,25,0,0,Normal,Low
EMP1015,Mary Hernandez,Teller,1,2026-04-27 08:23:00,8,US,0,DEV_18675,0,423.51,0,1,23,0,0,0,Normal,Low
EMP1006,Barbara Martin,Manager,3,2026-03-13 07:02:00,7,US,0,DEV_15695,0,594.66,0,1,12,0,0,0,Normal,Low
EMP1006,Barbara Martin,Manager,3,2026-06-15 09:22:00,9,US,0,DEV_15695,0,528.86,0,17,6,0,0,0,Normal,Low
EMP1013,Jennifer Anderson,Teller,1,2026-01-06 08:03:00,8,US,0,DEV_93886,0,720.0,0,4,14,0,0,0,Normal,Low
EMP1035,David Smith,Teller,1,2026-03-01 09:21:00,9,US,0,DEV_40161,0,720.0,0,8,10,0,0,0,Normal,Low
EMP1009,John Johnson,Teller,1,2026-02-14 06:07:00,6,IN,0,DEV_11947,1,720.0,0,4,21,0,0,0,Normal,Low
EMP1001,Patricia Moore,System Admin,4,2026-04-18 09:33:00,9,US,0,DEV_65302,0,395.08,0,11,5,21,0,0,Normal,Low
EMP1006,Barbara Martin,Manager,3,2026-06-07 08:02:00,8,US,0,DEV_15695,0,660.07,0,6,15,0,0,0,Normal,Low
EMP1001,Patricia Moore,System Admin,4,2026-05-03 11:54:00,11,US,0,DEV_65302,0,720.0,0,2,5,24,0,0,Normal,Low
EMP1005,Michael Hernandez,DBA,4,2026-02-02 07:17:00,7,US,0,DEV_59797,0,583.39,0,4,25,17,0,0,Normal,Low
EMP1033,Michael Martinez,Teller,1,2026-04-21 09:06:00,9,US,0,DEV_98039,0,401.46,0,3,16,0,0,0,Normal,Low
EMP1026,Elizabeth Taylor,Teller,1,2026-04-17 07:46:00,7,US,0,DEV_30032,0,383.82,0,4,18,0,0,0,Normal,Low
EMP1030,Jessica Williams,Vendor,2,2026-01-22 07:05:00,7,US,0,DEV_79822,0,491.16,0,1,3,1,0,0,Normal,Low
EMP1037,Mary Hernandez,System Admin,4,2026-06-21 09:07:00,9,US,0,DEV_41195,0,720.0,0,4,8,23,0,0,Normal,Low
EMP1003,Michael Moore,Teller,1,2026-04-01 08:06:00,8,US,0,DEV_68878,0,357.53,0,7,25,0,0,0,Normal,Low
EMP1022,Joseph Taylor,Manager,3,2026-03-13 10:36:00,10,US,0,DEV_82512,0,423.9,0,13,13,0,0,0,Normal,Low
EMP1017,Joseph Jones,Manager,3,2026-03-11 11:44:00,11,US,0,DEV_42325,0,674.75,0,2,10,0,0,0,Normal,Low
EMP1009,John Johnson,Teller,1,2026-02-06 07:47:00,7,IN,0,DEV_47930,0,495.51,0,1,16,0,0,0,Normal,Low
